instance_id,repo,coupling_label,complexity_label,modularity_label,coupling_criteria,complexity_criteria,modularity_criteria,fragment_count,parseable_fragment_pairs
astropy__astropy-12057,astropy/astropy,0,0,1,,,increased_function_decomposition|introduced_helper_function,4,2
astropy__astropy-12318,astropy/astropy,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,moved_logic_behind_function_boundary,7,4
astropy__astropy-12544,astropy/astropy,0,0,0,,,,6,2
astropy__astropy-12825,astropy/astropy,1,0,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out,,increased_function_decomposition,8,5
astropy__astropy-12842,astropy/astropy,0,0,0,,,,12,8
astropy__astropy-12880,astropy/astropy,0,0,0,,,,2,2
astropy__astropy-12891,astropy/astropy,0,0,1,,,increased_function_decomposition,6,4
astropy__astropy-12907,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-12962,astropy/astropy,0,0,0,,,,6,4
astropy__astropy-13032,astropy/astropy,0,0,1,,,increased_function_decomposition|introduced_helper_function,4,3
astropy__astropy-13033,astropy/astropy,0,0,1,,,increased_function_decomposition,2,1
astropy__astropy-13075,astropy/astropy,0,0,1,,,increased_function_decomposition,2,2
astropy__astropy-13132,astropy/astropy,0,0,1,,,increased_function_decomposition,4,3
astropy__astropy-13158,astropy/astropy,0,1,1,,reduced_cyclomatic_complexity,helper_extraction_with_nonincreasing_complexity|increased_function_decomposition|introduced_helper_function,33,19
astropy__astropy-13162,astropy/astropy,0,0,0,,,,5,3
astropy__astropy-13234,astropy/astropy,0,0,0,,,,3,2
astropy__astropy-13390,astropy/astropy,0,0,1,,,moved_logic_behind_function_boundary,2,2
astropy__astropy-13398,astropy/astropy,0,0,1,,,increased_function_decomposition,8,7
astropy__astropy-13404,astropy/astropy,0,0,0,,,,2,2
astropy__astropy-13417,astropy/astropy,0,0,0,,,,10,6
astropy__astropy-13438,astropy/astropy,0,0,0,,,,2,1
astropy__astropy-13453,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-13462,astropy/astropy,0,0,1,,,moved_logic_behind_function_boundary,1,1
astropy__astropy-13465,astropy/astropy,0,0,0,,,,7,3
astropy__astropy-13469,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-13477,astropy/astropy,0,1,0,,reduced_cyclomatic_complexity,,3,1
astropy__astropy-13579,astropy/astropy,0,0,0,,,,2,2
astropy__astropy-13638,astropy/astropy,1,1,0,reduced_external_calls|reduced_fan_out,reduced_nesting_depth,,1,1
astropy__astropy-13668,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-13731,astropy/astropy,0,0,0,,,,2,1
astropy__astropy-13734,astropy/astropy,0,0,0,,,,6,3
astropy__astropy-13745,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-13838,astropy/astropy,0,0,0,,,,2,2
astropy__astropy-13842,astropy/astropy,0,0,0,,,,3,3
astropy__astropy-13933,astropy/astropy,0,0,0,,,,9,5
astropy__astropy-14042,astropy/astropy,0,0,0,,,,2,1
astropy__astropy-14096,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-14163,astropy/astropy,0,0,0,,,,2,1
astropy__astropy-14182,astropy/astropy,0,0,1,,,increased_function_decomposition,3,2
astropy__astropy-14213,astropy/astropy,0,0,0,,,,5,4
astropy__astropy-14253,astropy/astropy,0,0,0,,,,8,5
astropy__astropy-14295,astropy/astropy,0,0,1,,,increased_function_decomposition|introduced_helper_function,5,3
astropy__astropy-14309,astropy/astropy,0,1,0,,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,,1,1
astropy__astropy-14365,astropy/astropy,0,0,0,,,,2,2
astropy__astropy-14369,astropy/astropy,0,0,0,,,,5,3
astropy__astropy-14371,astropy/astropy,0,0,0,,,,5,3
astropy__astropy-14379,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-14413,astropy/astropy,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,helper_extraction_with_nonincreasing_complexity|increased_function_decomposition|introduced_helper_function,9,6
astropy__astropy-14439,astropy/astropy,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_nesting_depth,reduced_apparent_responsibilities,2,1
astropy__astropy-14484,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-14508,astropy/astropy,0,1,0,,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,,1,1
astropy__astropy-14539,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-14566,astropy/astropy,0,1,1,,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,increased_function_decomposition|introduced_helper_function,7,5
astropy__astropy-14578,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-14590,astropy/astropy,0,0,0,,,,5,2
astropy__astropy-14598,astropy/astropy,1,0,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,,,2,2
astropy__astropy-14628,astropy/astropy,0,0,0,,,,2,2
astropy__astropy-14701,astropy/astropy,0,0,1,,,increased_function_decomposition,2,2
astropy__astropy-14702,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-14907,astropy/astropy,0,0,0,,,,3,3
astropy__astropy-14938,astropy/astropy,0,0,0,,,,2,2
astropy__astropy-14966,astropy/astropy,0,0,1,,,moved_logic_behind_function_boundary,3,2
astropy__astropy-7008,astropy/astropy,0,1,1,,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,increased_function_decomposition|introduced_helper_function,6,4
astropy__astropy-7166,astropy/astropy,0,0,0,,,,3,2
astropy__astropy-7336,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-7441,astropy/astropy,0,0,1,,,increased_function_decomposition|introduced_helper_function,7,4
astropy__astropy-7606,astropy/astropy,0,0,0,,,,2,2
astropy__astropy-7671,astropy/astropy,0,0,0,,,,2,1
astropy__astropy-7737,astropy/astropy,0,0,0,,,,4,4
astropy__astropy-7746,astropy/astropy,0,0,0,,,,2,1
astropy__astropy-7858,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-7973,astropy/astropy,0,0,0,,,,3,1
astropy__astropy-8005,astropy/astropy,0,0,0,,,,3,1
astropy__astropy-8251,astropy/astropy,0,0,0,,,,4,1
astropy__astropy-8263,astropy/astropy,0,0,0,,,,2,1
astropy__astropy-8292,astropy/astropy,0,0,0,,,,1,1
astropy__astropy-8339,astropy/astropy,0,0,0,,,,2,1
astropy__astropy-8519,astropy/astropy,0,0,0,,,,2,2
astropy__astropy-8707,astropy/astropy,0,0,0,,,,6,4
astropy__astropy-8715,astropy/astropy,0,0,0,,,,33,13
astropy__astropy-8747,astropy/astropy,0,0,1,,,increased_function_decomposition|introduced_helper_function|reduced_apparent_responsibilities,9,8
astropy__astropy-8872,astropy/astropy,1,1,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_cyclomatic_complexity,,3,1
django__django-10087,django/django,0,0,0,,,,2,1
django__django-10097,django/django,0,0,0,,,,1,1
django__django-10213,django/django,0,0,0,,,,5,2
django__django-10287,django/django,0,0,0,,,,1,1
django__django-10301,django/django,0,1,1,,reduced_conditional_branches|reduced_cyclomatic_complexity,increased_function_decomposition,11,8
django__django-10316,django/django,0,0,0,,,,1,1
django__django-10390,django/django,0,0,0,,,,3,1
django__django-10426,django/django,0,0,0,,,,3,2
django__django-10531,django/django,0,0,1,,,increased_function_decomposition|introduced_helper_function,4,2
django__django-10554,django/django,0,0,1,,,increased_function_decomposition,2,2
django__django-10643,django/django,0,0,1,,,increased_function_decomposition,2,2
django__django-10680,django/django,0,0,0,,,,4,1
django__django-10730,django/django,0,0,0,,,,1,1
django__django-10737,django/django,0,0,0,,,,2,1
django__django-10853,django/django,0,0,0,,,,5,5
django__django-10880,django/django,0,0,0,,,,1,1
django__django-10904,django/django,1,0,1,reduced_dependency_references|reduced_fan_out|reduced_imported_modules,,moved_logic_behind_function_boundary,27,17
django__django-10910,django/django,0,0,1,,,increased_function_decomposition|introduced_helper_function,5,3
django__django-10914,django/django,0,0,0,,,,1,1
django__django-10939,django/django,0,1,1,,reduced_conditional_branches|reduced_cyclomatic_complexity,increased_function_decomposition|introduced_helper_function,3,3
django__django-10957,django/django,0,0,1,,,increased_function_decomposition,4,1
django__django-10973,django/django,1,0,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out|reduced_imported_modules,,,2,1
django__django-10989,django/django,0,0,0,,,,27,17
django__django-10997,django/django,0,0,0,,,,2,1
django__django-10999,django/django,0,0,0,,,,1,1
django__django-11003,django/django,0,0,0,,,,1,1
django__django-11019,django/django,0,0,0,,,,3,3
django__django-11030,django/django,0,0,1,,,increased_function_decomposition,17,11
django__django-11034,django/django,0,0,0,,,,1,1
django__django-11039,django/django,0,0,0,,,,1,1
django__django-11044,django/django,0,0,0,,,,2,2
django__django-11049,django/django,0,0,0,,,,1,1
django__django-11053,django/django,0,0,0,,,,2,2
django__django-11057,django/django,0,0,1,,,increased_function_decomposition|introduced_helper_function,4,3
django__django-11062,django/django,0,0,0,,,,7,5
django__django-11066,django/django,0,0,0,,,,1,1
django__django-11070,django/django,0,0,0,,,,7,4
django__django-11085,django/django,1,0,0,reduced_external_calls|reduced_fan_out,,,2,2
