property,subset,layer,model,count,centroid_distance,cosine_similarity,activation_norm
coupling,all,1,pretrained,185,4.497523124797924,0.8625025773370588,9.29351903039056
coupling,all,1,coupling_activation_steering,185,4.113850922197909,0.8798624288391422,9.091344199309479
coupling,all,10,pretrained,185,9.930645280270964,0.8941129777077083,24.17061184032543
coupling,all,10,coupling_activation_steering,185,8.99798906429394,0.9071262227723728,23.516072762979043
coupling,positive_reference,1,pretrained,24,4.9292866587638855,0.8328338110198578,9.39418343702952
coupling,positive_reference,1,coupling_activation_steering,24,4.5087818304697675,0.8527308615545431,9.164186914761862
coupling,positive_reference,10,pretrained,24,10.543224930763245,0.8826418360695243,24.19168980916341
coupling,positive_reference,10,coupling_activation_steering,24,9.469284772872925,0.8977647256106138,23.482221364974976
complexity,all,23,pretrained,185,78.40113552196605,0.9370584792784742,308.3231097247149
complexity,all,23,complexity_activation_steering,185,75.15001090797219,0.953086000439283,322.365831447292
complexity,all,22,pretrained,185,38.327456922788876,0.9302065864104677,124.77999498521959
complexity,all,22,complexity_activation_steering,185,35.33443179774929,0.9373397345277104,122.8354900875607
complexity,all,12,pretrained,185,12.505731531091639,0.893998873173385,30.475947498630834
complexity,all,12,complexity_activation_steering,185,11.74576794134604,0.9033262877850919,30.09346319662558
complexity,all,14,pretrained,185,15.342975033940496,0.8905580289863252,36.6979686118461
complexity,all,14,complexity_activation_steering,185,13.748486776609678,0.9074295371166757,35.95311115367993
complexity,positive_reference,23,pretrained,22,90.46686952764338,0.8972847637805071,302.52842018821025
complexity,positive_reference,23,complexity_activation_steering,22,84.82662842490457,0.9243069203062491,317.4064386541193
complexity,positive_reference,22,pretrained,22,43.30433481389826,0.8940143950114195,122.69915563409978
complexity,positive_reference,22,complexity_activation_steering,22,40.021483941511676,0.9037221875041723,121.01409149169922
complexity,positive_reference,12,pretrained,22,13.943942590193315,0.8663373100148006,30.785725940357555
complexity,positive_reference,12,complexity_activation_steering,22,13.096580050208352,0.8773648390038447,30.340598019686613
complexity,positive_reference,14,pretrained,22,16.931476202878084,0.8630261939357627,36.9568398215554
complexity,positive_reference,14,complexity_activation_steering,22,15.150509877638383,0.8828336298465729,36.082420349121094
modularity,all,12,pretrained,185,12.485854819014266,0.8944837182961606,30.475947498630834
modularity,all,12,modularity_activation_steering,185,11.259036316742769,0.9094468716733359,29.856209028089367
modularity,all,17,pretrained,185,20.824097860181652,0.9008972419878921,53.13342905817805
modularity,all,17,modularity_activation_steering,185,17.947838917294064,0.9195748589731552,51.34922953425227
modularity,all,19,pretrained,185,26.457867483190586,0.9038479438303291,68.21695028769004
modularity,all,19,modularity_activation_steering,185,19.57390830065753,0.9404802707401482,64.97436166711756
modularity,all,18,pretrained,185,23.653982513015336,0.902519711348656,60.62096656593116
modularity,all,18,modularity_activation_steering,185,18.718827376494538,0.9314830963676041,57.961651590708136
modularity,positive_reference,12,pretrained,44,13.156251430511475,0.8781135889108885,30.4248929457231
modularity,positive_reference,12,modularity_activation_steering,44,11.863561955365268,0.89478242600506,29.769366177645598
modularity,positive_reference,17,pretrained,44,22.044588392431084,0.8847116632387042,53.57978066531095
modularity,positive_reference,17,modularity_activation_steering,44,18.868715481324628,0.9061469625342976,51.67257742448287
modularity,positive_reference,19,pretrained,44,27.863064202395353,0.8875878357582472,68.66764224659313
modularity,positive_reference,19,modularity_activation_steering,44,20.51045922799544,0.9292786006223072,65.1533991206776
modularity,positive_reference,18,pretrained,44,24.93674677068537,0.8867859991521321,61.08860492706299
modularity,positive_reference,18,modularity_activation_steering,44,19.610098470341075,0.9194728840481151,58.22057914733887
